time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-08T22:21:31.420Z,-9.4425,117.6913,74.5,5.4,mb,,45,3.627,1.45,us,us10004cg7,2022-08-02T04:09:39.205Z,"109 km SSE of Sumbawa Besar, Indonesia",earthquake,5.9,4.3,0.053,123,reviewed,us,us
2015-12-29T17:38:22.260Z,-10.033,114.2023,33.42,4.7,mb,,67,1.553,1.08,us,us10004a9b,2016-03-18T01:13:06.040Z,"173 km SW of Jimbaran, Indonesia",earthquake,6.2,5.1,0.088,39,reviewed,us,us
2015-11-28T16:44:01.900Z,-9.3754,115.0527,66.56,4.2,mb,,46,1.265,0.99,us,us100042qd,2016-02-25T22:32:59.040Z,"65 km S of Jimbaran, Indonesia",earthquake,9.6,8.2,0.136,15,reviewed,us,us
2015-09-16T21:52:46.530Z,-9.2709,116.2024,57.38,4.1,mb,,77,2.176,1.11,us,us10003it4,2015-12-12T00:42:57.040Z,"61 km SSE of Lembar, Indonesia",earthquake,8.4,8,0.145,13,reviewed,us,us
2015-08-29T20:02:26.650Z,-10.8411,116.3414,34.44,5.1,mb,,46,3.195,1.14,us,us1000360t,2022-08-07T08:12:20.960Z,"235 km S of Lembar, Indonesia",earthquake,6.7,3.7,0.06,92,reviewed,us,us
2015-08-20T01:01:42.840Z,-9.526,117.9393,76.22,4.1,mb,,95,3.885,0.73,us,us20003gdm,2015-11-24T02:09:24.040Z,"123 km SSW of Dompu, Indonesia",earthquake,5.9,9.8,0.165,10,reviewed,us,us
2015-08-10T23:53:22.610Z,-9.5948,117.7305,72.4,4.6,mb,,89,3.707,1.06,us,us100035b4,2015-11-06T18:06:30.040Z,"126 km SSE of Sumbawa Besar, Indonesia",earthquake,6.9,10.5,0.192,8,reviewed,us,us
2015-08-06T05:05:49.930Z,-9.7758,115.9399,35.19,5.3,mb,,29,2.19,0.93,us,us10002z14,2015-11-06T18:06:19.040Z,"117 km S of Lembar, Indonesia",earthquake,5.3,4.3,0.058,100,reviewed,us,us
2015-08-04T19:17:14.350Z,-9.5625,116.1549,46.49,4.2,mb,,100,2.256,0.8,us,us100033zq,2015-10-30T02:47:48.040Z,"92 km S of Lembar, Indonesia",earthquake,8.7,20.7,0.216,7,reviewed,us,us
2015-07-25T18:12:28.470Z,-10.9286,114.7803,11.45,4.1,mb,,123,2.52,1.45,us,us100031yw,2015-10-22T20:04:59.040Z,"south of Bali, Indonesia",earthquake,7.4,5.3,0.157,11,reviewed,us,us
2015-07-14T02:24:22.400Z,-9.0071,114.0318,43.68,4.1,mb,,108,0.546,0.75,us,us10002xv1,2015-10-09T20:19:16.040Z,"68 km S of Gambiran Satu, Indonesia",earthquake,7.8,12.3,0.185,8,reviewed,us,us
2015-07-10T02:16:32.150Z,-9.8969,114.9152,58.48,4.2,mb,,105,1.605,0.7,us,us200031b5,2015-10-09T20:19:10.040Z,"125 km SSW of Jimbaran, Indonesia",earthquake,4.3,11.6,0.175,9,reviewed,us,us
2015-06-16T17:43:19.520Z,-9.9151,114.8651,37.41,4.2,mb,,67,1.599,1.5,us,us10002mky,2015-08-20T00:44:00.040Z,"128 km SSW of Jimbaran, Indonesia",earthquake,6.4,4.3,0.128,17,reviewed,us,us
2015-05-16T13:22:38.270Z,-10.6324,115.8979,39.5,4.3,mb,,109,2.753,1.22,us,us100029s6,2015-07-23T01:04:03.040Z,"211 km S of Lembar, Indonesia",earthquake,8.8,6.6,0.142,14,reviewed,us,us
2015-05-01T15:04:43.910Z,-9.4829,117.645,72.01,4.2,mb,,93,3.594,0.74,us,us20002anx,2015-07-09T22:00:05.040Z,"112 km SSE of Sumbawa Besar, Indonesia",earthquake,9.4,8.2,0.152,12,reviewed,us,us
2015-04-11T10:32:50.430Z,-9.0232,114.0849,81.8,4.2,mb,,71,0.553,0.84,us,us200025u0,2015-06-22T23:18:56.040Z,"69 km S of Gambiran Satu, Indonesia",earthquake,7.6,5,0.132,16,reviewed,us,us
2015-03-26T00:38:21.620Z,-9.521,117.6324,70.24,4.5,mb,,48,3.593,0.74,us,us10001qt6,2015-06-12T01:53:22.040Z,"116 km SSE of Sumbawa Besar, Indonesia",earthquake,6.2,7,0.095,33,reviewed,us,us
2015-03-22T00:19:14.930Z,-9.6851,114.2388,53.65,4.5,mb,,59,1.21,0.73,us,us10001pi1,2015-06-09T21:30:01.040Z,"138 km S of Muncar, Indonesia",earthquake,7.9,2.1,0.1,29,reviewed,us,us
2015-03-15T01:28:41.260Z,-9.8402,117.4824,67.24,4.1,mb,,92,3.558,0.76,us,us10001ng4,2015-06-04T00:46:20.040Z,"149 km S of Sumbawa Besar, Indonesia",earthquake,8.4,9,0.158,11,reviewed,us,us
2015-02-21T12:21:00.990Z,-9.1607,115.2133,103.56,4.1,mb,,119,1.253,1.06,us,usc000tt25,2022-07-28T03:05:35.927Z,"39 km S of Nusa Dua, Indonesia",earthquake,6.3,10.9,0.262,5,reviewed,us,us
2015-01-30T18:41:15.570Z,-9.8426,117.8286,88.33,4.4,mb,,82,3.877,1.12,us,usc000tkf7,2015-05-02T14:07:30.040Z,"155 km SSE of Sumbawa Besar, Indonesia",earthquake,6.5,7,0.083,44,reviewed,us,us
2015-01-16T22:57:52.420Z,-9.5877,117.7646,65.45,4.1,mb,,87,3.737,0.97,us,usc000tj6b,2015-04-20T15:34:54.040Z,"126 km SSE of Sumbawa Besar, Indonesia",earthquake,7,7.9,0.185,10,reviewed,us,us
2014-10-08T19:22:56.390Z,-10.8836,117.2192,44.26,4,mb,,110,3.859,0.84,us,usb000snhl,2015-01-06T23:49:47.040Z,"262 km SSE of Praya, Indonesia",earthquake,9.4,9.7,0.232,7,reviewed,us,us
2014-10-02T19:46:04.280Z,-9.0761,115.9067,49.76,4.1,mb,,102,1.835,0.66,us,usb000sm0i,2014-12-23T01:41:58.040Z,"42 km SSW of Lembar, Indonesia",earthquake,10,7.7,0.145,15,reviewed,us,us
2014-09-07T17:54:56.480Z,-9.3303,116.0065,96.2,4.1,mb,,148,2.021,0.78,us,usb000sdi8,2014-12-05T23:36:38.040Z,"67 km S of Lembar, Indonesia",earthquake,6,12.7,0.213,7,reviewed,us,us
2014-08-24T02:39:22.950Z,-10.3105,116.3993,46.62,4.4,mb,,131,2.874,0.81,us,usb000s9mr,2014-11-22T02:06:32.000Z,"178 km S of Praya, Indonesia",earthquake,8,7.6,0.219,11,reviewed,us,us
2014-08-23T15:58:43.290Z,-9.4123,114.5547,50.46,4.1,mb,,104,1.017,1.41,us,usc000s8jz,2014-11-22T02:06:29.000Z,"95 km SW of Jimbaran, Indonesia",earthquake,7.7,10.5,0.158,11,reviewed,us,us
2014-05-28T22:23:36.300Z,-9.0501,114.2199,82.03,4.1,mb,,80,0.58,1.07,us,usc000rf6e,2014-08-26T01:21:02.000Z,"69 km S of Muncar, Indonesia",earthquake,,3.6,0.145,15,reviewed,us,us
2014-04-16T17:38:23.950Z,-9.4363,117.9185,61.98,4.7,mb,,61,3.842,1.02,us,usb000pmvd,2014-07-04T01:33:12.000Z,"116 km SSW of Dompu, Indonesia",earthquake,,5.3,0.073,61,reviewed,us,us
2014-04-12T12:32:54.740Z,-9.507,117.9249,58.99,4.6,mb,,70,3.866,0.91,us,usc000phhs,2014-07-01T02:37:59.000Z,"122 km SSW of Dompu, Indonesia",earthquake,,7.3,0.083,45,reviewed,us,us
2014-03-20T21:49:10.190Z,-9.702,114.2729,72.87,4,mb,,89,1.229,0.61,us,usc000nusi,2014-05-24T00:54:35.000Z,"140 km SW of Jimbaran, Indonesia",earthquake,,9,0.144,14,reviewed,us,us
2014-03-20T21:37:32.400Z,-10.0292,114.4948,46.28,4.2,mb,,92,1.585,0.57,us,usc000nuss,2014-05-24T00:54:35.000Z,"155 km SSW of Jimbaran, Indonesia",earthquake,,10.6,0.198,8,reviewed,us,us
2014-03-20T21:33:00.060Z,-9.653,114.2783,51.41,5,mb,,35,1.181,1.35,us,usc000nj9d,2014-05-24T00:54:35.000Z,"135 km S of Muncar, Indonesia",earthquake,,4.5,0.065,80,reviewed,us,us
2014-03-16T00:14:34.210Z,-9.6696,114.2271,63.17,4.3,mb,,142,1.194,1.1,us,usc000npts,2014-05-16T21:51:43.000Z,"137 km S of Muncar, Indonesia",earthquake,,7.6,0.133,20,reviewed,us,us
