time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-02T21:02:25.190Z,-8.7459,108.7974,38.14,5.2,mb,,53,1.897,0.86,us,us10007pbq,2017-03-27T23:53:19.040Z,"132 km SSW of Kroya, Indonesia",earthquake,7.9,4.9,0.051,128,reviewed,us,us
2016-11-15T12:41:13.400Z,-8.0575,109.3963,102.73,4.2,mb,,120,1.125,1.29,us,us100078l5,2017-02-09T03:02:29.040Z,"Java, Indonesia",earthquake,8.7,6.9,0.11,23,reviewed,us,us
2016-08-16T16:21:24.680Z,-8.2572,109.3419,82.63,4.7,mb,,41,1.218,0.73,us,us10006e5d,2016-11-15T02:21:50.040Z,"69 km S of Kroya, Indonesia",earthquake,7.7,7,0.078,49,reviewed,us,us
2016-07-29T09:07:10.430Z,-9.5526,107.018,10,5,mb,,57,1.631,1.25,us,us100068ba,2016-10-19T04:51:38.040Z,"264 km S of Banjar, Indonesia",earthquake,5.7,1.6,0.067,71,reviewed,us,us
2016-07-11T14:52:23.690Z,-8.1568,108.9334,71.99,4.5,mb,,77,1.592,0.99,us,us100062mb,2016-09-08T01:50:27.040Z,"67 km SSW of Kroya, Indonesia",earthquake,7.4,4.2,0.106,26,reviewed,us,us
2016-07-11T14:30:21.170Z,-9.0502,107.1891,10,4.5,mb,,85,2.077,0.75,us,us20006fqc,2016-09-08T01:50:27.040Z,"206 km S of Banjar, Indonesia",earthquake,7.2,1.9,0.101,29,reviewed,us,us
2016-07-08T15:10:02.320Z,-8.2442,108.272,79.85,4.4,mb,,70,2.253,1.43,us,us100062g2,2016-09-08T01:50:23.040Z,"95 km S of Kawalu, Indonesia",earthquake,3.9,7.9,0.091,35,reviewed,us,us
2016-06-11T17:16:12.670Z,-8.0735,107.5547,26.75,4.8,mb,,33,1.243,1.4,us,us200063u8,2016-08-25T01:22:51.040Z,"98 km S of Banjar, Indonesia",earthquake,2.5,4,0.067,68,reviewed,us,us
2016-05-08T17:29:34.620Z,-8.3628,108.9774,76.29,4.3,mb,,76,1.594,1.47,us,us10005hze,2016-07-20T18:10:49.040Z,"85 km SSW of Kroya, Indonesia",earthquake,6.3,8.7,0.117,21,reviewed,us,us
2016-04-06T15:14:57.840Z,-8.1118,107.3401,42.08,4.6,mb,,95,2.883,1.27,us,us20005ia8,2016-06-17T21:45:48.040Z,"101 km S of Banjar, Indonesia",earthquake,9,3.8,0.132,17,reviewed,us,us
2016-04-06T15:04:02.140Z,-8.2767,107.2761,35,4.3,mb,,96,1.482,1.19,us,us20005ia7,2016-06-17T21:45:47.040Z,"120 km S of Banjar, Indonesia",earthquake,4.5,2,0.125,18,reviewed,us,us
2016-04-06T14:45:29.620Z,-8.2036,107.3857,29,6.1,mww,,31,1.39,1.44,us,us20005fv5,2022-08-07T10:47:57.249Z,"111 km S of Banjar, Indonesia",earthquake,5.3,1.7,,,reviewed,us,us
2016-03-28T20:43:25.360Z,-8.3906,109.5045,82.96,4.4,mb,,42,1.114,0.93,us,us20005cyt,2022-08-02T16:18:39.634Z,"86 km S of Gombong, Indonesia",earthquake,9,6.2,0.084,41,reviewed,us,us
2016-03-04T20:37:28.640Z,-8.1839,107.3317,64.81,4.1,mb,,174,1.38,0.98,us,us10004w41,2016-05-16T18:01:43.040Z,"109 km S of Banjar, Indonesia",earthquake,9.5,5,0.151,12,reviewed,us,us
2016-03-02T01:20:09.130Z,-8.928,108.1453,35,4.2,mb,,73,2.156,1.32,us,us10004us1,2016-05-06T23:34:22.040Z,"171 km S of Kawalu, Indonesia",earthquake,4.8,2,0.152,12,reviewed,us,us
2016-02-26T21:12:01.890Z,-8.0159,108.8105,53.14,4.2,mb,,69,1.676,0.88,us,us10004u1r,2016-05-06T23:34:14.040Z,"58 km S of Sidareja, Indonesia",earthquake,5.9,6.7,0.127,17,reviewed,us,us
2016-02-13T20:45:34.740Z,-9.4645,108.5707,8.14,5.1,mb,,43,2.47,0.9,us,us20005005,2016-04-26T23:28:19.040Z,"215 km SSW of Kroya, Indonesia",earthquake,2.5,3.6,0.065,76,reviewed,us,us
2016-01-20T17:25:43.060Z,-8.3714,107.9491,35,4.6,mb,,87,2.588,0.95,us,us20004uqx,2016-04-06T17:30:28.040Z,"113 km SSW of Kawalu, Indonesia",earthquake,4.6,2,0.119,21,reviewed,us,us
